#PictureHD,PictureThumbNail,X/East,Y/North,Z/Altitude,Yaw,Pitch,Roll,FligthSpeed,Battery,
http://data.flightstream.io/sg/0002/P3030277.JPG,http://data.flightstream.io/sg/0002/tn/P3030277.JPG,1.400378,103.897297,83.82,60.67,0.22,-2.99,2,65%,
http://data.flightstream.io/sg/0002/P3030278.JPG,http://data.flightstream.io/sg/0002/tn/P3030278.JPG,1.40038,103.897285,83.55,60.2,0.73,-1.94,2,65%,
http://data.flightstream.io/sg/0002/P3030279.JPG,http://data.flightstream.io/sg/0002/tn/P3030279.JPG,1.40038,103.897286,82.99,59.85,1.03,0.32,1,65%,
http://data.flightstream.io/sg/0002/P3030280.JPG,http://data.flightstream.io/sg/0002/tn/P3030280.JPG,1.400375,103.897291,82.81,59.41,-0.96,1.36,3,65%,
http://data.flightstream.io/sg/0002/P3030281.JPG,http://data.flightstream.io/sg/0002/tn/P3030281.JPG,1.400368,103.897296,82.89,59.76,-2.33,1.82,2,65%,
http://data.flightstream.io/sg/0002/P3030282.JPG,http://data.flightstream.io/sg/0002/tn/P3030282.JPG,1.40036,103.897296,82.35,59.11,-1.82,2.1,2,65%,
http://data.flightstream.io/sg/0002/P3030283.JPG,http://data.flightstream.io/sg/0002/tn/P3030283.JPG,1.400352,103.897286,81.31,58.2,-2.17,-2.3,2,65%,
http://data.flightstream.io/sg/0002/P3030284.JPG,http://data.flightstream.io/sg/0002/tn/P3030284.JPG,1.400348,103.897279,80.42,57.36,-2.43,-3.51,2,65%,
http://data.flightstream.io/sg/0002/P3030285.JPG,http://data.flightstream.io/sg/0002/tn/P3030285.JPG,1.400344,103.897277,79.94,56.95,-3.72,-2.82,2,64%,
http://data.flightstream.io/sg/0002/P3030286.JPG,http://data.flightstream.io/sg/0002/tn/P3030286.JPG,1.400344,103.897281,78.97,56.31,-4.38,0.42,2,64%,
http://data.flightstream.io/sg/0002/P3030287.JPG,http://data.flightstream.io/sg/0002/tn/P3030287.JPG,1.400351,103.89722,66.09,43.64,-0.67,4.8,2,64%,
http://data.flightstream.io/sg/0002/P3030288.JPG,http://data.flightstream.io/sg/0002/tn/P3030288.JPG,1.40035,103.897207,64.45,42.18,-0.34,4,2,64%,
http://data.flightstream.io/sg/0002/P3030289.JPG,http://data.flightstream.io/sg/0002/tn/P3030289.JPG,1.400351,103.897198,63.34,40.96,-0.01,4.55,2,64%,
http://data.flightstream.io/sg/0002/P3030290.JPG,http://data.flightstream.io/sg/0002/tn/P3030290.JPG,1.400352,103.897187,62.31,39.82,0.42,4.33,2,63%,
http://data.flightstream.io/sg/0002/P3030291.JPG,http://data.flightstream.io/sg/0002/tn/P3030291.JPG,1.400353,103.897172,61.02,38.6,0.81,2.19,1,63%,
http://data.flightstream.io/sg/0002/P3030292.JPG,http://data.flightstream.io/sg/0002/tn/P3030292.JPG,1.40035,103.89716,59.7,37.27,0.03,1.93,1,63%,
http://data.flightstream.io/sg/0002/P3030293.JPG,http://data.flightstream.io/sg/0002/tn/P3030293.JPG,1.400347,103.897154,58.94,36.41,-0.31,2.64,1,63%,
http://data.flightstream.io/sg/0002/P3030294.JPG,http://data.flightstream.io/sg/0002/tn/P3030294.JPG,1.400342,103.897145,57.81,35.58,-0.82,3.14,1,63%,
http://data.flightstream.io/sg/0002/P3030295.JPG,http://data.flightstream.io/sg/0002/tn/P3030295.JPG,1.400337,103.897139,57,34.59,-1.44,1.93,1,63%,
http://data.flightstream.io/sg/0002/P3030296.JPG,http://data.flightstream.io/sg/0002/tn/P3030296.JPG,1.400334,103.897133,56.34,33.88,-1.47,1.96,2,62%,
http://data.flightstream.io/sg/0002/P3030297.JPG,http://data.flightstream.io/sg/0002/tn/P3030297.JPG,1.400332,103.897128,55.67,33.32,-0.74,2.13,2,62%,
http://data.flightstream.io/sg/0002/P3030298.JPG,http://data.flightstream.io/sg/0002/tn/P3030298.JPG,1.400332,103.897123,54.83,32.33,0.08,2.68,2,62%,
http://data.flightstream.io/sg/0002/P3030299.JPG,http://data.flightstream.io/sg/0002/tn/P3030299.JPG,1.400332,103.897117,53.63,31.38,0.95,3.31,2,62%,
http://data.flightstream.io/sg/0002/P3030300.JPG,http://data.flightstream.io/sg/0002/tn/P3030300.JPG,1.400332,103.897111,52.72,30.51,0.84,3.92,3,62%,
http://data.flightstream.io/sg/0002/P3030301.JPG,http://data.flightstream.io/sg/0002/tn/P3030301.JPG,1.400331,103.897104,51.84,29.42,0.52,1.85,2,62%,
http://data.flightstream.io/sg/0002/P3030302.JPG,http://data.flightstream.io/sg/0002/tn/P3030302.JPG,1.40033,103.897097,51.13,28.82,0.6,1.67,2,62%,
http://data.flightstream.io/sg/0002/P3030303.JPG,http://data.flightstream.io/sg/0002/tn/P3030303.JPG,1.400327,103.897092,50.4,27.91,0.02,3.27,2,62%,
http://data.flightstream.io/sg/0002/P3030304.JPG,http://data.flightstream.io/sg/0002/tn/P3030304.JPG,1.400318,103.89708,49.01,26.54,-0.89,2.17,2,62%,
http://data.flightstream.io/sg/0002/P3030305.JPG,http://data.flightstream.io/sg/0002/tn/P3030305.JPG,1.400315,103.897076,48.94,26.59,-1.07,1.71,2,61%,
http://data.flightstream.io/sg/0002/P3030306.JPG,http://data.flightstream.io/sg/0002/tn/P3030306.JPG,1.400314,103.897072,49.06,26.57,-0.87,1.92,2,61%,
